id,name,symbol,circulating_supply,price,volume_24h,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,market_cap
5034,Kusama,KSM,8470098.05726206,24.85598638214644,10602412.38830785,210532641.96675077,0.54697851,2.14037995,-13.6105366,210532641.96675077
7653,Oasis Network,ROSE,5725718533.0,0.03664460959947952,12241473.94954513,209816720.3182896,0.54996656,2.76937609,-17.88557625,209816720.3182896
5864,yearn.finance,YFI,36637.72122588,5649.012346067924,15996763.75738967,206966939.53679097,0.3608564,4.01292923,-12.82703337,206966939.53679097
7129,TerraClassicUSD,USTC,9804111872.299809,0.020370446224658004,8346638.25440671,199714133.67521435,-0.2034774,2.73912776,-20.4576003,199714133.67521435
9891,BinaryX,BNX,2822526.21363741,69.95562257201237,20684611.7314072,197451578.50082985,-0.05082399,-9.23065484,22.39551181,197451578.50082985
5647,Kadena,KDA,212627880.47095,0.926182859566996,5026223.32174309,196932298.3582539,0.26713491,4.04199126,-9.86794056,196932298.3582539
1455,Golem,GLM,1000000000.0,0.1957464771811763,9122674.13951701,195746477.1811763,0.33025222,6.58942848,-14.72495738,195746477.1811763
2777,IoTeX,IOTX,9406502764.0,0.019833665580500072,3907964.75904859,186565430.1032256,0.48316543,4.1917316,-10.58845258,186565430.1032256
8677,Symbol,XYM,5582460004.558402,0.03289942122917351,1104245.31674811,183659703.18498075,0.54656093,5.70902275,-2.07372015,183659703.18498075
5488,JUST,JST,8902080000.0,0.020409833220476806,10956100.62450946,181689968.11534217,0.52839243,4.03482043,-8.04438272,181689968.11534217
9258,Chia,XCH,5983267.0,30.31694704018729,4275747.05868223,181394388.7663003,0.11277313,0.7794012,-5.65806719,181394388.7663003
18069,STEPN,GMT,600000000.0,0.2999124693832559,37510925.39143157,179947481.62995353,0.51637411,6.42286587,-24.63602952,179947481.62995353
1274,Waves,WAVES,110167990.0,1.5895776644241282,68740658.69908631,175120576.2385007,0.67834268,7.53264534,-12.66097259,175120576.2385007
3783,Ankr,ANKR,9662899377.791666,0.018022940739341794,10506571.39116134,174153862.8561619,1.1600096,7.19549945,-14.18214217,174153862.8561619
6836,Moonbeam,GLMR,483212062.0,0.34487993739509737,3876649.145477,166650145.69111592,0.24421789,2.28647117,-11.40832208,166650145.69111592
20314,Terra,LUNA,127475474.310907,1.3024872412378288,27090985.14700658,166035178.86069697,0.37201999,5.75198588,-21.71430565,166035178.86069697
9436,Dogelon Mars,ELON,550740157301248.1,2.9705128909222145e-07,2402886.02416934,163598073.68118858,0.26607032,2.92628624,-15.07215085,163598073.68118858
8536,Mask Network,MASK,68200000.0,2.348955299337865,84681487.99535093,160198751.4148424,1.4404595,7.67311927,-25.20586288,160198751.4148424
3640,Livepeer,LPT,26914148.55358155,5.730961716167489,7050512.57411673,154243954.98382047,0.15896889,5.86732204,-14.45240422,154243954.98382047
12885,Astar,ASTR,3823664266.0,0.039448004357747826,1690888.93528584,150835924.62773263,0.36851706,5.22751801,-7.3945601,150835924.62773263
3945,Harmony,ONE,12914413681.447853,0.011597967919289973,6156794.77506582,149780955.5738717,0.08375149,5.00413385,-16.01150298,149780955.5738717
2496,Polymath,POLY,924998413.0,0.16076806915626485,3030820.6565458,148710208.83061925,0.00530984,0.85236768,-23.27313155,148710208.83061925
8425,JasmyCoin,JASMY,46299999998.88511,0.0031910616216250256,15343834.47638399,147746153.077681,0.63891875,6.88406249,-15.37111446,147746153.077681
1808,OMG Network,OMG,140245398.24513277,1.0224429944986337,15138826.54737582,143392924.946407,0.60485418,6.21577181,-12.81530212,143392924.946407
5370,Hive,HIVE,492393828.93,0.2902080877693559,4084686.67240155,142896671.52320665,0.44437349,8.90029286,-16.40496312,142896671.52320665
1896,0x,ZRX,847496054.8027713,0.16846848749619012,8436109.05484893,142776378.51161113,0.47324617,6.48123085,-12.03643704,142776378.51161113
2566,Ontology,ONT,875249524.0,0.16301982075655516,6412041.93533551,142683020.51974022,0.47249789,5.5969617,-13.13133165,142683020.51974022
14783,MAGIC,MAGIC,207046135.69900796,0.6799022802616238,36201297.68960955,140771139.7811131,-0.15401376,14.06824409,-4.06312954,140771139.7811131
3964,Reserve Rights,RSR,42302323974.0,0.0032758671972418878,4300132.47404744,138576795.4735257,0.59918782,5.14236862,-19.86544781,138576795.4735257
2099,ICON,ICX,919483096.0,0.15058582830672357,2798905.63539153,138461123.62519062,0.25629355,6.27789939,-14.93018143,138461123.62519062
7501,WOO Network,WOO,1202120920.6973517,0.11446548735029995,8155961.2907111,137601357.04161364,0.8658319,1.09967891,-15.62432644,137601357.04161364
6945,Amp,AMP,42227702186.0,0.003227705315270068,4690784.08549705,136298578.79739365,1.16056275,5.28117633,-4.90974398,136298578.79739365
8119,SafePal,SFP,324402079.001731,0.41912098808370685,7039419.05056027,135963719.88761422,0.55109295,4.72405684,-10.09348623,135963719.88761422
7080,Gala,GALA,6977205436.0,0.019435756318406563,57324170.29735666,135607264.63755763,0.42854406,5.01451855,-22.70545979,135607264.63755763
2405,IOST,IOST,18588745668.0,0.007210154039688756,3950839.27199109,134027719.67087705,0.58531549,5.70754712,-13.67350297,134027719.67087705
17751,Threshold,T,8245460686.0,0.016211109867800253,11759773.17785401,133668069.09137364,1.0201461,8.21991201,-12.43928264,133668069.09137364
109,DigiByte,DGB,15885762025.258774,0.008346839225754904,4041837.71211903,132595901.6034376,0.12308169,2.67010361,4.32027056,132595901.6034376
3029,Flux,FLUX,284822186.6494039,0.45412863696122086,3975800.61649812,129345911.39940824,-0.07014629,5.42135173,-9.57253338,129345911.39940824
11865,Bone ShibaSwap,BONE,160630184.0709187,0.800858567634712,3352862.54057708,128642059.13393608,-0.43624674,2.94400303,-2.35294637,128642059.13393608
1042,Siacoin,SC,52816492991.0,0.0024305119506985765,6229409.98294456,128371117.4086131,0.23738526,5.46839311,-24.32940072,128371117.4086131
12387,Ribbon Finance,RBN,527010362.8890207,0.23858628196080864,272315.49799147,125737443.03650796,0.2423417,-0.87342074,-4.84127366,125737443.03650796
9816,APENFT,NFT,277080562500000.0,4.5353821661603373e-07,8404203.81854242,125666624.17521748,-0.07828596,0.38931549,-3.57575587,125666624.17521748
2700,Celsius,CEL,238863519.826,0.5112975613956834,1548729.41936993,122130335.19342327,0.29599061,3.79837164,-13.7687397,122130335.19342327
7455,Audius,AUDIO,929742732.0,0.12986346694266493,3488503.88210489,120739614.54226498,0.56713922,4.54688736,-15.039172,120739614.54226498
1214,Lisk,LSK,128900444.52198455,0.9003813208286656,117843666.47235444,116059552.49410658,3.33633448,32.86429715,8.52353162,116059552.49410658
11584,Braintrust,BTRST,129824382.0,0.8909635233713721,628707.61978093,115668788.80623093,-0.27194117,-0.27413797,-5.41389085,115668788.80623093
1698,Horizen,ZEN,13168225.0,8.751642188572887,6043497.77113224,115243593.4586202,0.83518371,5.95692591,-15.1286614,115243593.4586202
5617,UMA,UMA,68947415.07943583,1.6086447103052701,16502862.39647971,110911894.55675626,0.25212461,7.23493131,-4.80425513,110911894.55675626
5690,Render Token,RNDR,253798859.69384697,0.4341073728010029,5913602.59428112,110175956.20158626,0.07012757,5.63054512,-16.22434159,110175956.20158626
2300,WAX,WAXP,2303992233.0755405,0.04778299076799668,3037338.99379484,110091639.6025846,0.56460715,4.73226506,-16.53207005,110091639.6025846
1772,Storj,STORJ,412937122.13631105,0.2655397812565012,10118935.26218911,109651233.08476515,0.88186288,6.24642658,-17.9262485,109651233.08476515
14806,ConstitutionDAO,PEOPLE,5060137334.7,0.02159865932491715,15603155.03007102,109292182.42947957,0.45269011,7.08528911,-5.88952651,109292182.42947957
3801,BORA,BORA,927500000.0,0.1170445915792715,2436396.43437128,108558858.6897743,0.28051381,3.66532396,-21.3668262,108558858.6897743
5604,Secret,SCRT,163295557.0,0.6604524801201712,9205354.29567212,107848955.61325479,-0.68784909,10.58056398,-8.67354466,107848955.61325479
4279,SXP,SXP,507977992.576195,0.2117053983917877,5291440.56767331,107541683.29260394,0.39218693,4.51148598,-14.41402556,107541683.29260394
3437,ABBC Coin,ABBC,1050309748.6939145,0.09647770996535475,11856650.98445508,101331479.30827612,0.41351163,0.07342706,-17.92155635,101331479.30827612
7226,Injective,INJ,73005554.33,1.3777087296064943,4821374.53590796,100580389.5102022,0.29456421,4.81303743,-16.19352194,100580389.5102022
1637,iExec RLC,RLC,80999784.9868455,1.1982426611593868,11788619.10312646,97057397.9159759,-0.15929099,3.96741567,4.52248215,97057397.9159759
12999,ssv.network,SSV,10000000.0,9.673580945170121,2512273.39018244,96735809.45170121,0.22119815,3.49150796,-18.60036551,96735809.45170121
5268,Energy Web Token,EWT,30062138.0,3.2115037548811554,1228254.89274708,96544669.06675546,0.23192935,3.79225651,-16.40588424,96544669.06675546
3911,Ocean Protocol,OCEAN,613099140.9978136,0.15572975655548946,16788232.59618492,95477779.97196922,-0.99621797,3.77965102,-8.56381331,95477779.97196922
1567,Nano,XNO,133248297.197,0.6999292218208725,1744631.04692416,93264376.96605255,0.07946389,3.44691765,-9.7518705,93264376.96605255
9025,Tribe,TRIBE,453448622.0,0.2052884755986016,2355339.03849924,93087776.37266652,0.06114419,2.87018047,-15.81472155,93087776.37266652
5824,Smooth Love Potion,SLP,42663310757.0,0.002172967023959065,4246959.35104293,92705967.40787904,0.10125658,4.29016956,-13.25619186,92705967.40787904
1817,Voyager Token,VGX,278482214.1856918,0.3298714576484211,15991875.7379524,91863333.92259395,-0.4768986,-5.83124193,-3.21963017,91863333.92259395
9040,Pundi X (New),PUNDIX,258491637.23,0.35389691430936715,6494748.30293964,91479392.79047333,0.74437006,5.51149641,-10.98060437,91479392.79047333
11156,dYdX,DYDX,65569295.0,1.3846603183005468,40595989.22831178,90791200.88544245,0.70620832,4.24787927,-16.19331926,90791200.88544245
5691,SKALE,SKL,4039352671.0,0.022068742007196815,4579544.78530652,89143431.97238036,0.19340337,7.03850814,-10.42961013,89143431.97238036
9444,Kyber Network Crystal v2,KNC,164893760.0,0.5364272279134368,8969595.85848371,88453502.57702355,0.519901,6.41315802,-15.97815173,88453502.57702355
1816,Civic,CVC,1000000000.0,0.08814431823890494,11431526.45487112,88144318.23890494,0.45341623,8.65198961,-9.42756656,88144318.23890494
7461,PlayDapp,PLA,537855941.0,0.16311229406279681,11923931.53717088,87730916.41181429,0.24579557,5.21304773,-22.76006649,87730916.41181429
2071,Request,REQ,999830316.0398655,0.08744637329349014,1569965.58364713,87431535.0465703,0.17968403,5.03533159,-4.13303809,87431535.0465703
7737,API3,API3,71748537.0,1.1872390871550085,3066879.81523528,85182667.57258736,0.51290797,5.07944388,-13.83604384,85182667.57258736
2303,MediBloc,MED,6365724128.01453,0.01297591615935621,749459.04396758,82601102.57870746,0.36186374,0.55158398,-12.02295835,82601102.57870746
6953,Frax Share,FXS,16209404.69824367,5.032698593080981,5472295.26527269,81577048.21953116,0.480744,0.33452993,-10.82609091,81577048.21953116
1680,Aragon,ANT,41958140.0,1.9445266202075377,8266065.59995321,81588720.16439469,0.49850922,8.11599589,-11.84531334,81588720.16439469
1759,Status,SNT,3920652246.4051423,0.020747808185345808,1699814.33781361,81344940.76985905,0.37525337,3.86916701,-11.19711066,81344940.76985905
3628,MXC,MXC,2642132371.4,0.030783360602816248,9657933.47978875,81333713.54918022,1.02491042,5.72404049,-31.60715501,81333713.54918022
4041,MX TOKEN,MX,99999999.9997,0.8130491806722108,1123212.95262035,81304918.06697716,-0.00090575,1.40881492,-2.0185076,81304918.06697716
8420,DAO Maker,DAO,92074258.92539924,0.8795527790499932,1133158.3508434,80984170.31680354,0.32327725,-0.41167904,-0.31089331,80984170.31680354
